Interpretation rule,"Defines a methodology, pattern, or procedure for understanding some aspect of an instance of a conformance target.",6.1,"|Interpretation rule|Defines a methodology, pattern, or procedure for understanding some aspect of an instance of a conformance target.|"
List,An object that defines a datatype as a whitespace-separated list of atomic values.,4.9,|List|An object that defines a datatype as a whitespace-separated list of atomic values.|
Literal,,3.4,|Literal||
Local term,"A word, phrase, acronym, or other string of characters that is used in the name of a namespace component, but that is not defined in OED, or that has a non-OED definition in this nameespace, or has a word sense that is in some way unclear.",4.16,"|Local term|A word, phrase, acronym, or other string of characters that is used in the name of a namespace component, but that is not defined in OED, or that has a non-OED definition in this nameespace, or has a word sense that is in some way unclear.|"
Local type,,11.3,|Local type||
Message,The data in an information exchange,1,|Message|The data in an information exchange|
Message designer,"A person that creates a message type and format from an information requirement, so that a message at runtime will contain all the facts that need to be conveyed.",3.1,"|Message designer|A person that creates a message type and format from an information requirement, so that a message at runtime will contain all the facts that need to be conveyed.|"
Message developer,"A person that writes software to implement a message specification, producing or processing messages that conform to the message format.",3.1,"|Message developer|A person that writes software to implement a message specification, producing or processing messages that conform to the message format.|"
Message schema document,A XSD representation of a message namespace,6.2.4,|Message schema document|A XSD representation of a message namespace|
Message specification,A collection of related message formats and types,3.1,|Message specification|A collection of related message formats and types|
Metadata,,8.11,|Metadata||
Mixed content,The mixing of data tags with text,9,|Mixed content|The mixing of data tags with text|
Model object,Represents a complete or partial NIEM model.,4.1,|Model object|Represents a complete or partial NIEM model.|
Namespace,A collection of uniquely-named components.,3.4,|Namespace|A collection of uniquely-named components.|
Namespace author,,3.6,|Namespace author||
Namespace prefix,,2.2,|Namespace prefix||
Namespace URI,A unique URI for a namespace.,2.2,|Namespace URI|A unique URI for a namespace.|
NIEM,A framework for exchanging information among public and private sector organizations.,1,|NIEM|A framework for exchanging information among public and private sector organizations.|
NIEM Core,A set of common objects.,1,|NIEM Core|A set of common objects.|
NIEM Domain,A set of objects that are specific to certain government or industry vertical,1,|NIEM Domain|A set of objects that are specific to certain government or industry vertical|
NIEM metamodel,An abstract model for NIEM data models.,3.4,|NIEM metamodel|An abstract model for NIEM data models.|
NIEMOpen Business Architecture Committee (NBAC),,1,|NIEMOpen Business Architecture Committee (NBAC)||
NIEMOpen Project Governing Board (PGB),,1,|NIEMOpen Project Governing Board (PGB)||
NIEMOpen Technical Architecture Committee (NTAC),,1,|NIEMOpen Technical Architecture Committee (NTAC)||
Normative,Required for conformance (e.g. rules).,2,|Normative|Required for conformance (e.g. rules).|
Object class,Represents a class of objects defined by a NIEM model,4.4,|Object class|Represents a class of objects defined by a NIEM model|
Object class term,,7.4.1,|Object class term||
Object property,Defines a subject-predicate-value relationship between an object and another object.,3.4,|Object property|Defines a subject-predicate-value relationship between an object and another object.|
Ordered/Ordinality,,,|Ordered/Ordinality||
Particle,,10.7,|Particle||
Property term,Describes or represents a characteristic or subpart of an entity or concept.,7.4.2,|Property term|Describes or represents a characteristic or subpart of an entity or concept.|
Proxy type,A complex type definition wrapper for a simple type in the XML Schema namespace.,7.1,|Proxy type|A complex type definition wrapper for a simple type in the XML Schema namespace.|
Qualifier term,Provide additional context to resolve subtleties between properties of objects.,7.4.3,|Qualifier term|Provide additional context to resolve subtleties between properties of objects.|
Range,The class or datatype of a property.,4,|Range|The class or datatype of a property.|
Reference attribute,A pointer to an element in a message.,4.15.6,|Reference attribute|A pointer to an element in a message.|
Reference data model,"A model of objects, properties, and relationships",1,"|Reference data model|A model of objects, properties, and relationships|"
Reference namespace,Namespaces that include all components in the NIEM model.,6.2.1,|Reference namespace|Namespaces that include all components in the NIEM model.|
Reference property,An attribute property that contains a reference to an object in a message. ,4.8,|Reference property|An attribute property that contains a reference to an object in a message. |
Reference schema document,,3.6,|Reference schema document||
Representation term,"Indicate the style of component, prevents name conflicts or indicates the nature of the value.",7.4.4,"|Representation term|Indicate the style of component, prevents name conflicts or indicates the nature of the value.|"
Restriction object,Defines a datatype as a restriction of a base datatype plus zero or more restricting Facet objects.,4.12,|Restriction object|Defines a datatype as a restriction of a base datatype plus zero or more restricting Facet objects.|
Simple content,"An object or type that has only attributes, not elements.",4.4,"|Simple content|An object or type that has only attributes, not elements.|"
Simple type,,4.1,|Simple type||
Subset,A collection of NIEM components required for an information exchange.,3.2,|Subset|A collection of NIEM components required for an information exchange.|
Subset namespace,A subset of the components in a reference or extension namespace.,6.2.3,|Subset namespace|A subset of the components in a reference or extension namespace.|
Subset schema document,,4.15.3,|Subset schema document||
Target namespace,,4.2,|Target namespace||
Type definition,,4.4,|Type definition||
Union,Defines a datatype as the union of one or more datatypes.,4.11,|Union|Defines a datatype as the union of one or more datatypes.|
XML catalog,,4.1,|XML catalog||
XML schema document set,Defines an XML Schema that may be used to validate an XML document,12,|XML schema document set|Defines an XML Schema that may be used to validate an XML document|
